,artist_names,artist_bios
452,Eduardo Paolozzi,"Eduardo Paolozzi was a Scottish sculptor, collagist, printmaker, filmmaker and writer who experimented with wood and aluminum in sculpture making.
"
453,Martin C. Herbst,Martin C. Herbst is an Austrian artist widely known for his delicately executed paintings that were exhibited in many shows across the globe.
454,Cecile Raynal,"Cecile Raynal is a French artist born in 1966, in Château-Thierry. He is currently based in Criquetot-l'Esneval, France."
455,Fred Stichnoth,Fred Stichnoth is a German artist whose photos were used in high fashion editorials for magazines and catalogues for a plethora of brands.
456,Guillaume Chansarel,"Guillaume Chansarel is a French artist whose paintings invite the viewer to travel, from brand new perspectives, into the cores of international megalopolis.
"
457,Takashi Murakami,"An artist who works in fine arts media, Takashi Murakami is known for blurring the line between high and low arts while representing the Japanese culture."
458,Yayoi Kusama,"Yayoi Kusama is a famously provocative avant-garde artist, best known for her works featuring repeating motifs and psychedelic imagery that evoke themes of psychology, feminism, obsession, sex, creation, destruction, and intense self-reflection."
459,Gunther Forg,"Gunther Forg, was born in Füssen, Allgäuon on 5 December 1952. He was a German painter, graphic designer, sculptor, and photographer.
"
460,Greet Helsen,"Greet Helsen is a Switzerland-based Belgian artist known for her colourful abstract paintings inspired by the natural world.
"
461,Ellen Priest,"Ellen Priest is an American abstract painter, whose art is created under the influence of jazz music. As a painter, she is mainly self-taught. 
"
462,Malcolm Morley,"Malcolm Morley is a British contemporary artist, best-known for his photorealistic paintings. He is recognized as one of the earliest innovators of super-realism.
"
463,Corneille,"Corneille Guillaume Beverloo better known under his pseudonym Corneille, was a Dutch artist, one of the founders of the REFLEX and COBRA movement."
464,Henrietta Harris,Henrietta Harris is an Auckland-born artist and illustrator known for her series of distorted watercolor and gouache portraits.
465,Pierre Alechinsky,"Pierre Alechinsky is a Belgian artist whose work is related to tachisme, abstract expressionism, and lyrical abstraction. He lives and works in France"
466,Robert Baribeau,"Robert Baribeau is an American artist best known for landscapes he explores on his dynamic canvases that reminiscent Abstract Expressionism. 
"
467,Tomory Dodge,"Tomory Dodge is an American artist based in Los Angeles, California. Born Jason Tomory Dodge in Denver, CO, 1974 to David C. Dodge and Madeleine Dodge"
468,Jurgen Drescher,"Jurgen Drescher is a German artist, born in 1955. Although he is best known for his sculptures, he also creates video, text and performance works."
469,Tom McGlynn,"Tom McGlynn is an American contemporary artist born in 1958. He is known for using contrasting colors in his minimalist approach to abstraction.
"
470,Klaus Kampert,"Photographing the naked human body, Klaus Kampert portrays the beauty of its physical form, emotion, thought, and the link between them."
471,Erte,"Romain de Tirtoff, by far better known by his artistic alias of Erte, was a Russian author who was a master of fashion design and Art Deco style."
472,Joachim van der Vlugt,"Joachim van der Vlugt is a Luxembourg-based artist whose work is mostly inspired by the classic Dutch masters. His work was included in various exhibitions.
"
473,Gianfranco Pezzot,"Gianfranco Pezzot is an Italian conceptual photographer who is interested in how different forces affect the ways we construct and make use of our environment.
"
474,Anthony Frost,"Anthony Frost is an English contemporary abstract artist whose colorful and vibrant paintings and prints are most often inspired by music.
"
475,Richard Hunt,The American abstract artist Richard Hunt is well known for his outstanding large scale public sculptures made of  welded pieces of metal.
476,David Row,David Row is a contemporary artist who lives and works in New York City. He is best known for his shaped canvases and installations.
477,Mike Meire,"An artist, designer, art director, and curator, Mike Meire is considered a leading protagonist of cutting-edge editorial design."
478,Hadi Tabatabai,"Hadi Tabatabai combines drawing, painting and sculpture, creating delicate, meticulously executed pattern-based works in mixed media."
479,Dieter Mammel,
480,Susanne Kirsch,"Susanne Kirsch is a German abstract artist who specializes in large-format paintings on an acrylic basis, characterized by the inspiration of the moment."
481,Rico Gatson,"Even though he uses painting, video, sculpture, and installation, Rico Gatson is an American artist who prefers not to be defined by any single medium."
482,Jeff Robb,"Jeff Robb is a British artist known for his lenticular photographic fine art, focusing on the female nude and abstract forms in space."
483,Lilian Thomas Burwell,Lilian Thomas Burwell is an American artist whose work is an expression and a reflection of the history of her own reactions and experiences.
484,Lisa Palomino,More details will be forthcoming shortly.
485,Nora Ampova,"Nora Ampova is a Bulgarian contemporary visual artist whose work is open and social, often infused with humor and irony."
486,Meyers Rohowsky,"Meyers Rohowsky was an American painter, printmaker, and sculptor. He studied at New York University and the Academie Julien in Paris."
487,Nite Owl,"Nite Owl creates expressive Owls that explore colors and geometries and enter into the realm of “flatness.” He is based in Oakland, California."
488,Otist,"Otist is a French artist who uses stencil to express his vision of the world, often addressing issues such as corruption, injustice, racism, and war."
489,BBqueen,"Rosita Raimondo, better known as BBqueen, is an Italian artist best known for her character the Confused Cat, created in 2017."
490,Harry Skeggs,More details will be coming shortly.
491,Isher Dhiman,More details will be coming shortly.
492,Jac Lahav,More details will be coming shortly.
493,Shelly McCoy,More details will be coming shortly.
494,Sarah Chilvers,
495,Benjamin Benno,"Benjamin Benno was a British-born American artist, regarded as an artistic prodigy from a young age. He is best known for his Modernist works."
496,Pedro Caetano,"Pedro Caetano is a Brazilian artist, curator and former gallerist, best known for his paintings, installations, and sculptures. He is based in São Paulo."
497,Hamilton Aguiar,Hamilton Aguiar is a Brazilian artist who was initially inspired by murals and interior design. He moved to the United States in 1987.
498,Jay Kelly,"Jay Kelly is an American contemporary artist known for his unique style of creating life-like portraits and collages out of books, photos, and magazines."
499,KX2,"KX2 is a collaboration between sisters Ruth Avra and Dana Kleinman, known for their mathematically inspired sculpture merging metal and painting."
500,Emily Berger,"Working with oil paint on wood panels, Emily Berger is an American abstract artist whose paintings are minimal and gestural."
501,Jessica Renault JrBrush,"Jessica Renault, better known by her artistic name JrBrush, is a French artist specializing in airbrush. She discovered airbrushing at the age of 15."
502,Botero Pop,Botero Pop is a French artist widely known for his character whose simplicity accentuates the emotional impact of the message.
503,La Pointe,La Pointe is a French artist who adopted the technique of String Art after the loss of part of his heart. His works offer a positive message.
504,Andrew Hardy,"Andrew Hardy is a British contemporary artist who uses abstract language to explore materiality, repetition, gesture and chance."
505,Elizabeth Peyton,"Elizabeth Peyton is an American contemporary painter known for her pop figurative paintings,  mostly of celebrities, that rose her to popularity in the '90s."
506,Karel Appel,"Karel Appel was a Dutch painter and a sculptor who developed many abstract concepts during the key periods of his country's modern art history.
"
507,Albert Watson,"Albert Watson is a Scottish photographer well known for his fashion, celebrity and art photography. He was born in 1942.
"
508,Bernard Frize,"Bernard Frize is a French artist, well known for his experimental approach to painting. He was born in 1949, in Saint-Mandé, France."
509,William Ronald,"William Ronald was a Canadian abstract painter and a founder of the influential Canadian abstract art group Painters Eleven in 1954.
"
510,Jose Manuel Ciria,Jose Manuel Ciria is a Manchester-born contemporary artist who has been honored with numerous awards and exhibitions.
511,Barthelemy Toguo,"Born in 1967, Barthelemy Toguo is a Cameroonian multidisciplinary artist based in Paris and Bandjoun. His work has been included in various shows."
512,Jason Middlebrook,"Jason Middlebrook is an American artist interested in uneasy coexistence between natural phenomena and human-made objects who works in sculpture, installation, site-specific projects."
513,Anne Russinof,"Anne Russinof is an American abstract painter whose work examines color and structure in a gestural, expressionist manner.
"
514,Menashe Kadishman,Menashe Kadishman was an Israeli artist born in 1932 in Tel Aviv. He was best known for his metallic sculptures and colorful sheep paintings.
515,Stanley Whitney,Stanley Whitney is an American artist born in 1946. Stanley Whitney has been exploring the formal possibilities of color since mid-1970s.
516,Chris Ofili,"Chris Ofili, a member of the Young British Artists, is known for his exploration of the black experience and his use of elephant dung in paintings.
"
517,Bernard Buffet,"Bernard Buffet was a French artist who belonged to Expressionism, famous for his rich body of work in painting, drawing and printmaking.
"
518,Frank Horvat,"Frank Horvat is an Italian-born photographer, best known for his fashion photography, mostly published between the mid-1950s and the end of the 1980s. He left a significant mark on fashion photography, moving it outside of the studio.
"
519,Richard Haas,"Richard John Haas is an American muralist who is best known for architectural murals and his use of the trompe l'oeil style.
"
520,Raul Cordero,"Raúl Cordero is a Cuban artist who collects so called pretexts for his pieces from the press, magazines, books and TV – creating a mixed media artworks."
521,Pierre Auville,"Pierre Auville is a French artist, born in La Havre, known for using cement and other construction materials in his artwork. 
"
522,Onemizer,"Onemizer is an artist from France widely known for his colorful wildstyle graffiti and portraits of celebrities made on walls, canvas and wood.
"
523,John Giorno,"John Giorno was an American poet and performance artist who disseminated his streetwise, pioneering poetry to audiences worldwide. 
"
524,Martin Munkacsi,"Martin Munkácsi was a Hungarian photographer who worked in Germany and in the United States, where he was based in New York City. 
"
525,Marc Desgrandchamps,"Marc Desgrandchamps is a French Lyon-based artist who became famous for his surreal, enchanting compositions that enthrall the viewers almost instantly."
526,Marcy Rosenblat,"Marcy Rosenblat is an American abstract process painter who creates layered, colorful and complex paintings and prints.
"
527,Hachiro Kanno,"Hachiro Kanno is a Japanese artist who was born in 1944. He currently lives and works in Paris, France."
528,Hans Staudacher,Hans Staudacher is a influential Austrian painter born in 1923 who was the pioneering proponent of Art Informel in his native country.
529,Vasilena Gankovska,"Vasilena Gankovska is a Bulgarian artist who explores the past and the present through her painterly based practice by focusing on various social issues.
"
530,Beverly Fishman,"The American artist Beverly Fishman is known for aexploring technological, scientific, and biological systems of perception and representation."
531,Koenraad Dedobbeleer,"Koenraad Dedobbeleer sculptures, objects, in-situ installations and photographs teeming with associations, tongue-in-cheek commentaries and art historical references."
532,Jean-Francois Rauzier,"Wondering about the future of our cultural heritage, Jean-Francois Rauzier is best known for his digitally altered depictions of cities and places."
533,SUPERFLEX,"A Danish artist group, Superflex describes themselves as an expanding collective of humans and non humans working with an expanding idea of art."
534,Amadeo Luciano Lorenzato,"A Brazilian modernist artist, Amadeo Luciano Lorenzato depicted landscapes, still lives, and scenes from his neighborhood translating."
535,Arthur Boden,"Arthur Boden is an American artist whose focus shifted from working as a graphic designer to expressing himself by creating acrylic paintings and prints.
"
536,Giancarlo Impiglia,Giancarlo Impiglia is an Italian contemporary painter. His unique visual style was established on the shoulders of Futurism and Cubism.
537,Brodsky & Utkin,"Brodsky & Utkin is a collaboration between Alexander Brodsky and Ilya Utkin who developed distinct practices combining architecture with fine art.
"
538,Steli Christoff,Steli Christoff is a Bulgarian contemporary artist whose painting/collages represent a form of communication through colors.
539,Jim Rennert,Jim Rennert is an American artist best known for his immediately identifiable and simplified figures and forms depicting men in suits.
540,Matt Shlian,"Matt Shlian is an American artist and designer whose work ranges from drawings, sculptures, large-scale installations to collaborations with scientists."
541,Alejandra Quintanilla,Alejandra Quintanilla is a Mexican artist widely known for her abstract paintings. She studied Arts at the University of Monterrey UDEM.
542,Kevin Krag,Kevin Krag is an Argentinian artist whose music-inspired and influenced works uniquely bring together the fields of sculpture and photography.
543,Philippe Halaburda,Philippe Halaburda is a French artist who has coined the term Geographic Abstraction to describe his work. He creates on several mediums.
544,LOSE,"LOSE, aka LOSEone, is a French artist specializing in themes such as nature, with its psychedelic flowers that animate it, ceramics, and graffiti."
545,Ann Gardner,Ann Gardner is an American artist whose abstract forms are constructed of layered shards of tinted concrete and glass on fiberglass molds.
546,Giacomo Giannelli,More details will be coming shortly.
547,Molly Gambardella,"Inspired by both cultural and biological diversity, Molly Gambardella is an American artist who uses small items in order to create a larger image."
548,Virgil Abloh,"Virgil Abloh was an American artist, architect, and fashion designer. He studied Civil Engineering at the University of Wisconsin-Madison."
549,Lumi Mizutani,"Lumi Mizutani is a Japanese-born painter and lithographer, whose works are known for the alchemy between different elements she uses: paper, ink, and water."
550,Cameron Platter,Cameron Platter is a South African artist best known for vibrant paintings which feature his articulation of the local popular culture and identity issues.
551,Devan Shimoyama,Devan Shimoyama is an American contemporary artist who uses the genre of portraiture to explore the domains of queer representation and African heritage.
552,Gianni Motti,"An Italian-born and Swiss-based artist, Gianni Motti creates interventions designed to highlight the contradictions that inform contemporary society."
553,Paulo Roberto Leal,"A celebrated Brazilian painter, Paulo Roberto Leal focused the concepts of emptiness, voids, interstices, and silence"
554,Ida Kohlmeyer,Louisiana-born artist Ida Kohlmeyer is best known for paintings and sculptures characterized by great exuberance and painterly freedom.
555,Daisuke Takeya,
556,Ron Martin,
557,Dennis Burton,
558,Josep Grau-Garriga,"Josep Grau-Garriga was a Spanish artist widely known for his paintings, drawings, and tapestries. He studied painting and engraving."
559,Jenik Cook,"Jenik Cook is an American contemporary artist whose paintings, though abstract expressionist, have roots in gestural modernism.
"
560,Pietro Bulloni,"Pietro Bulloni is an Italian contemporary artist whose works are characterized by neat lines and bright and smooth colors.
"
561,Lucio Ranucci,"Lucio Ranucci was an Italian painter born in 1925. In 1947, he moved to South America, where he would spend many years. He worked in the theater."
562,John Hardy,"John Hardy was an American painter known for portraits, cityscapes, and seascapes. His narrative scenes are often populated with solitary figures.
"
563,Guy Oberson,"Guy Oberson is a Swiss contemporary artist best known for his paintings and black chalk drawings. He lives and works in Lentigny, Paris and Berlin.
"
564,Diane Monet,"Diane Monet is an American contemporary artist known for vibrant landscapes, gardens and villages, painted in the impressionist-inspired style.
"
565,Monika Kovatsch,Monika Kovatsch is a German artist based in the Munich area whose work can be interpreted as a modern reinterpretation of abstract art.
566,Marcelo Mendizabal,"Marcelo Mendizábal is an Uruguayan contemporary artist known for utilizing threads, ropes, stitches, and knots in his abstract paintings."
567,Carolina Alotus,Carolina Alotus is a Swedish contemporary abstract painter known for active and energetic compositions. She’s been living in Cyprus since 1990.
568,Janina McQuoid,"Janina McQuoid is a Brazilian artist who suspends the functional use of words, signs and materials, combining them in arbitrary constructions."
569,Carson Cartier,"Carson Cartier is a Canadian contemporary abstract artist who seeks to unify painting, photography, and fashion through his work."
570,Carlos Alejandro,More details will be forthcoming shortly.
571,Martine Demal,"Martine Demal is a French sculptor who explores the different possibilities of bronze, her chosen material, by pushing its potential to the limits."
572,Dani Marti,"Dani Marti is a Spanish multidisciplinary artist working in video, installation and public art. He lives and works between Sydney and Glasgow."
573,Marcelo Martin Burgos,"Marcelo Martin Burgos is an Argentinian artist engaged in sculpture and filmmaking, whose work has roots in childhood memories and a sense of fascination."
574,Lisa Whittington,More details will be coming shortly.
575,CRASH,"John Matos, better known as CRASH, stands as the representative of the first generation of graffiti artists that emerged in NY in the seventies.
"
576,Claude Rutault,"Claude Rutault was a French both minimalist and conceptual artist, best known for the original way of expression he created and named definition-method, which is basically a manual how to create his art piece."
577,Ryan Callanan,"Ryan Callanan aka RYCA is a British contemporary artist, known for his works in printmaking and graphics.
"
578,Dale Chihuly,"Dale Chihuly is an American artist and glass sculptor, born in 1941. He uses glass as the primary medium for his installations and large-scale sculptures.
"
579,Ellsworth Kelly,Ellsworth Kelly was an internationally renowned American abstract painter and sculptor whose career spanned over seven long and productive decades.
580,Red Grooms,"Red Grooms is an American multimedia artist best known for his colorful pop-art constructions depicting frenetic urban life scenes.
"
581,Robert Natkin,"Robert Natkin was an American born abstract painter whose work is associated with Abstract expressionism, Color field painting, Lyrical Abstraction...
"
582,David Nash,David Nash is a British sculptor who uses a wide range of wood products and other natural materials to create unique works.
583,Henri Matisse,"Henri Matisse was a legendary French painter, sculptor, and printmaker - all in all, one of the most influential artists of the twentieth century.
"
584,Clay Ketter,"Clay Ketter is an American contemporary artist born in 1961, active in the fields of photography and painting."
585,Judy Pfaff,"Judy Pfaff is a notable American artist known mainly for large scale, site-specific installations as well for colorful drawings and detailed sculptures made out of various materials."
586,Ashley Oubre,"Ashley Oubré is an American self-taught artist, known for her large-scale drawings made with graphite powder, india ink and carbon pencil, created in a photorealistic style.
"
587,Jaume Plensa,"Jaume Plensa is a Spanish sculptor, best known for his monumental public sculptures made in steel, glass, marble, polyester resin, concrete, and bronze."
588,Enrico Baj,"Enrico Baj was an Italian artist and writer on art. Many of his works show an obsession with nuclear war. He created collage, prints and sculptures."
589,Mark Mastroianni,"Mark Mastroianni is an American artist, known for creating atmospheric paintings using primarily warm earth colors. He received his education at Ohio State University.
"
590,Ashlynn Browning,"Ashlynn Browning is an American artist best known for her abstract paintings – its geometric forms, put together in a process of layering.
"
591,Delphine Brabant,"Delphine Brabant is a French artist known for her sculptures that juxtapose the horizontal and the vertical position, simplifying her figures as much as she can."
592,Jean-Baptiste Huynh,"Jean-Baptiste Huynh is a well-known, prize-winning photographer French photographer known for his series of works made in Mali, Japan and India."
593,Pedro Cabrita Reis,Pedro Cabrita Reis is a Portugese artist who has exhibited his work in numerous solo and group shows. He represented Portugal at the Venice Biennale in 2003.
594,Rafael Coronel,"Rafael Coronel is a painter from Mexico whose representational paintings have a melancholic sobriety and include faces from the past great masters, often floating in a diffuse haze."
595,Agent X,"Agent X is a creative pseudonym of an incredible artist based in Vancouver who creates experimental multimedia collage artworks, paintings and 2D artworks."
596,Pieter Vermeersch,"Pieter Vermeersch is a Belgian artist who was born in 1973, in Kortrijk. His work was included in various exhibitions."
597,Nicolas Party,Nicolas Party is a Swiss artist who works across a wide range of different media. He is best known for his color-saturated paintings and murals.
598,Ernest Pignon-Ernest,"Ernest Pignon-Ernest is a French urban artist and one of the forefathers of what is today known as the street art and urban intervention.
"
599,Swoon,Swoon is a Brooklyn-based street artist famous for her life-sized woodblock and cut-paper portraits and her humanitarian projects in Haiti.
600,Ai Weiwei,"Ai Weiwei is a Chinese contemporary artist and activist, famed for his tongue in cheek criticisms. His work has been marked by a pursuit of honesty."
601,Robert Mapplethorpe,Robert Mapplethorpe was an American photographer known for his controversial images that were simultaneously very classical and academic in nature.
602,Tom Wesselmann,"Tom Wesselmann was an American painter often associated with the Pop Art despite regularly denying his association with the concepts of this movement.
"
603,Chuck Close,"Chuck Close is a celebrated American painter and photographer who achieved fame and recognition through his massive-scale photorealistic portraits.
"
604,Wifredo Lam,"Wifredo Lam was an notable Cuban painter influenced by Afro-Cuban tradition and dedicated to questioning the achievements of modernity in both formal and aesthetical sense. 
"
605,Joe Webb,"Joe Webb is a British visual artist known for his enticing handmade mixed media collages.
"
606,Patrick Wilson,"Patrick Wilson is an American artist known for his luminous, sumptuously colored abstract paintings composed of lines and quadrilaterals."
607,Richard Smith,Richard Smith was a British printmaker and painter. He has produced work in a range of styles but is often associated with color field painting.
608,Rupert Jasen Smith,"Rupert Jasen Smith was an American artist known for painting and printmaking who was born in 1953 in New Jersey and raised in Palm beach, Florida"
609,stikman,"stikman, sometimes referred to as Stickman or Bob, is an anonymous American graffiti artist, the mastermind behind stikman - a robot-like figure which looks like it is made of sticks."
610,Will Barnet,"Will Barnet was an American artist known for his paintings, watercolors, drawings, and prints depicting the human figure and animals, both in casual scenes of daily life and in transcendent dreamlike worlds."
611,Bruce Conner,"Bruce Conner was a prolific American artist, whose body of work included assemblage, film, drawing, sculpture, painting, collage, and photography."
612,Carole Feuerman,"Carole Feuerman is an American artist best known as a pioneering figure in the world of hyper-realist sculpture.
"
613,David Huffman,"A painter and an installation artist, David Huffman is best known for melding the aesthetics of science fiction, especially in his Traumanaut series presenting a futuristic landscape populated by African American astronauts"
614,Hamish Fulton,"Hamish Fulton is a British artist who has been transforming walks into photography, illustrations, and wall texts for over four decades."
615,Nassos Daphnis,"Nassos Daphnis was a Greek-born American abstract painter and a talented sculptor, as well as a passionate tree peony breeder.
"
616,Lionel Esteve,Lionel Esteve is a French artist born in 1967 in Lyon. His work was included in many solo and group shows.
617,Emanuel Schulze,"Emanuel Schulze is a German artist whose paintings negotiate the contrary relationship between technical precision and poetic, painterly freedom."
618,Michael Reafsnyder,The American painter Michael Reafsnyder is best known for painterly abstractions that convey a sense of delirious happiness.
619,Ian Anull,"Ian Anüll is known for his performance and conceptual work, ranging from critical to humorous, that evokes everyday life and consumer culture."
620,Rudolf de Crignis,"Rudolf de Crignis was best known for radiant abstract works, layered hues of blue that he called ""catalysts to create the space and the light."""
621,Daniela Schweinsberg,"Daniela Schweinsberg is a German abstract artist who uses a diverse range of media, including oils, acrylics and spray paint.
"
622,Al Hirschfeld,"Al Hirschfeld was an American artist who combined black and white linear drawing with portraiture, developing an iconic visual language."
623,Harry McCormick,"Harry McCormick is an American contemporary realist painter whose stunning evocation of light and shadow has been widely recognized.
"
624,Elliott Green,"Elliott Green is an American contemporary artist whose abstract paintings mostly evoke landscapes – ashen mountains and foaming waters.
"
625,Guillaume Ziccarelli,"A French-born photographer and video director, Guillaume Ziccarelli is specialized in documentary work, as well as architecture, art, and portraits."
626,Josep M. Rosello,"Born in Tarragona, Josep M. Rosselló is a Spanish contemporary painter whose mystical work seeks to capture the undisclosed secrets of life."
627,Paula Scavazzini,"Paula Scavazzini is a Brazilian contemporary painter based in São Paulo, whose artistic practice interacts with different communities."
628,Flora Rebollo,"Flora Rebollo is a Brazilian contemporary artist known for her drawings, paintings, and sculptures. She lives and works in São Paulo."
629,Maria Bacha,"Maria Bacha is a Greek contemporary painter who creates colorful, nebulous, abstract compositions inspired by nature and light."
630,William Schwedler,"William Schwedler was an American artist. Born and raised in Chicago, he was heavily influenced by the local artistic milieu."
631,Dinopak,"Dinopak is a French artist known for his unique, dinosaur-inspired character, often portrayed as someone else, a super-hero for example."
632,Katia Ferrari,"Walking the line between abstract and figurative, Katia Ferrari is a French artist known for her Neo-Pop works. She enjoys mixing up techniques."
633,Jae Ko,Jae Ko is a Korean-born contemporary artist perhaps best known for her sculptural work made using rolled paper and colored ink.
634,Yunior Marino,"Seeking to investigate the universal questions of the cosmos, nature and time, Yunior Mariño is a Cuban artist, musician and designer."
635,Johnny Ramstedt,More details will be coming shortly.
636,James Akers,More details will be coming shortly.
637,Aleksandar Topic,"Aleksandar Topić is a Serbian artist whose artworks are spontaneous creative manifestations, unconstrained in the use of colors, forms, and gestures."
638,Bill Barrett,"Bill Barrett is an American sculptor, painter and jeweler widely known and recognized for his abstract sculptures in steel, aluminum and bronze."
639,Debbie Smith,Debbie Smith is an American series-focused artist whose recent work has been focused on exploring the concept of groupings of abstracted humanoid forms.
640,Corey Postiglione,"Corey Postiglione is an American artist, art critic and educator, known for precise and primarily geometric work based on the image of a labyrinth or maze."
641,Ron Lion,Ron Lion is an American contemporary artist widely known for his sculptures that are both visually engaging in design and graceful in shape.
642,Ulfur Karlsson,"Ulfur Karlsson is an Icelandic artist and film director who began his career making short films and documentaries before transitioning to painting.
"
643,Wadsworth Jarrell,"Wadsworth Jarrell is an African-American artist whose entire practice is interwoven with criticism and social activism related to the Black experience.
"
644,Mel Ziegler,"An American contemporary artist, Mel Ziegler is known for community art, integrated arts and public art. He collaborated with Kate Ericson for 20 years."
645,Erin Lawlor,"Erin Lawlor is best known for abstract works characterized by wide, curvy brushstrokes, imbued with the natural integration of motion, body, and presence."
646,Emily Mason,"An American modernist, Emily Mason is best known for compositions characterized by exquisite sensitivity to color, balance, and form."
647,Monique van Genderen,"Monique van Genderen engages with materiality, surface, and the language of Modernist abstraction in a diverse range of paintings and wall installations."
648,Ernst Caramelle,"Ernst Caramelle's body of work shifts from video works to drawings, photographs, paintings and wall installations, questioning reality and illusion."
649,Heather Gwen Martin,"An American painter, Heather Gwen Martin is best known for abstract compositions executed in vibrant color palettes."
650,Stephan Baumkotter,"A German contemporary artist, Stephan Baumkotter is known for abstract works that affect the substantiality of the art and the representation of a reality."
651,Joan Witek,"An American contemporary artist, Joan Witek is known for using the color black on both canvas, paper and film."
652,Eduard Angeli,"The Austrian artist Eduard Angeli is best known for his dark, melancholy and densely atmospheric depictions of cities and landscapes.
"
653,Porfirio Valadares,
654,Michel Goulet,Michel Goulet uses traditional sculptural techniques to create installations based on recognizable everyday objects that encourage public participation.
655,Dana Holst,"Dana Holst works primarily in figurative painting and drawing, engaged in an ongoing investigation into the human experience."
656,Mat Brown,
657,Drew Simpson,
658,Richard Gorman,
659,John MacGregor,
660,Tony Bechara,"Tony Bechara is a Puerto Rican-born contemporary artist living and working in New York, who has produced a large and significant body of abstract work.
"
661,Reuben Nakian,"Reuben Nakian was an American artist best known for his sculptures. His work’s recurring themes are from Greek and Roman mythology.
"
662,Jesus Perea,"Jesús Perea is a Spanish contemporary abstract artist based in Madrid. He is a member of the contemporary abstract art collective Mother Universe.
"
663,Samantha Redfern,"Samantha Redfern is a British painter. Originally from Ascot, England, she fully embraced a career in art after her family moved to Singapore.
"
664,Victor Delfin,"Víctor Delfín is a Peruvian artist, one of the leading painters and sculptures in his country. His work has been exhibited across South and North America."
665,Pierre Clerk,"Pierre Clerk is a Canadian/American contemporary artist widely known for abstract geometrical paintings and monumental sculptures.
"
666,Corinne Vogel,"Corinne Vogel is a Swiss contemporary painter whose abstract works are mostly shaped by the mountainous surroundings in Thun, where she lives and works."
667,Taketo Kobayashi,"Inspired by the Jōmon period, Taketo Kobayashi (aka humanoise) is a Japanese 3D artist whose sculptures are intricate, colorful, and tactile."
668,Gloria Estefanell,"Born in Barcelona, Gloria Estefanell is a contemporary multidisciplinary artist whose works reveal her passion for sport and nature."
669,Ross Tamlin,"Born in Auckland, New Zealand, Ross Tamlin is a contemporary artist widely known and recognized for his corrugated iron paintings."
670,Jonah Waterous,"Born in Canada, Jonah Waterous is a contemporary artist inspired by his childhood, growing up in a pristine environment of the Bahamas."
671,Julie Breton,"Julie Breton is a French Canadian artist who creates colorful, gestural, abstract paintings that embody the dynamism and unpredictability of nature."
672,Esboner,"Esboner, also known as Sebastien Esboner Fcm, is a French artist. He started as a graffiti writer but has transitioned into illustration and drawing."
673,cObo,"cObo is a French Street and Pop artist who creates drawings, stencils, collages, sculptures, photographs and “customizations.”"
674,Leon Phillips,Leon Phillips is a Canadian artist known for allowing the physical nature of my tools and materials to express themselves.
675,Anna-Eva Bergman,Anna-Eva Bergman was a Norwegian abstract expressionist artist. Her works were often inspired by nature and based on abstracted motifs.
676,Camila Quintero,Camila Quintero is a British contemporary artist whose abstract artworks are colorful space explorations. She is based in London.
677,Ed Ruscha,"Edward Ruscha is an American artist from the Pop Art movement whose photography, drawing, painting, and artist books record the shifting symbols of American life.
"
678,John Baldessari,"John Baldessari was an American artist who fused photography, montage, painting, and text to create complex and fun compositions beginning in the 1950s.
"
679,Julian Opie,"Julian Opie is a British artist renowned for his linear works in different medias and is one of the founders of New British Sculpture movement. 
"
680,John Chamberlain,"John Chamberlain, born in 1927, is considered one of the most important American Post-War sculptors, known for his intuitive compilations of interlocking metals and use of industrial media.
"
681,Roxy Paine,"Roxy Paine is an internationally acclaimed American artist known for his sculptures comprised of cut, bent and welded pipes, plates and rods."
682,Franz Ackermann,"Franz Ackermann is a German multimedia artist recognized for his works in which he touches on the thematics of globalization, tourism and travel."
683,Francisco Zuniga,"José Jesús Francisco Zúñiga Chavarría was a Costa Rican-born Mexican artist, known both for his painting and his sculpture."
684,Raphael Soyer,"Raphael Soyer was a Russian-born American painter, draftsman, and printmaker. Soyer was referred to as an American scene painter.
"
685,Inka Essenhigh,Inka Essenhigh is an American contemporary artist widely known and recognized for her richly colored oil and enamel surrealism paintings.
686,Tenesh Webber,Tenesh Webber is a Canadian contemporary artist known for her black-and-white abstract photography. She was born in 1963.
687,Romain Langlois,"Romain Langlois is a French contemporary artist whose sculptures question our perception of both what we see and what we know.
"
688,Geoff Hargadon,"Geoff Hargadon is an American artist whose projects revolve around conceptual art, photography as well as street art campaigns.
"
689,Fabienne Verdier,Fabienne Verdier is a French abstract artist and one of the very few European artists to have mastered traditional Chinese ink painting.
690,Susan Cantrick,"Susan Cantrick is an American artist whose abstract paintings aim to articulate the complexities of emergent cognition.
"
691,Jacques Owczarek,"Jacques Owczarek is a self-taught French artist who was born in 1961. His work was included in various exhibitions.
"
692,Gudrun Mertes-Frady,"Gudrun Mertes-Frady is a New York-based abstract artist whose work blends geometric structure with intuitive, painterly explorations of color and line.
"
693,Gerhard Richter,"Gerhard Richter is a German contemporary artist and one of the most famous and influential postwar painters in the world.
"
694,Bridget Riley,Bridget Riley is a key member of the Op Art movement and a painter best known for her black and white paintings that create unique optical illusions and effects.
695,Willem de Kooning,"Willem de Kooning was a leading figure in the Abstract Expressionism renowned for his distinctive combination of gestural abstraction and traditional figuration.
"
