,artist_bios
347,"SOS (Save Our Souls) is an Italian artist working in both studio and streets. Born in Florence, he has lived in Milan, Naples, and most recently, Rome."
348,"Lawrence Fried was an award-winning American photojournalist who covered the political, social, and artistic events of his time."
349,More details will be coming shortly.
350,Roy Lichtenstein was an American Pop artist who became a figure of monumental importance in the recent history of art.
351,"Farhad Moshiri is an Iranian artist who has developed his own artistic style in which he blurs the boundaries between Iranian and Western cultures.
"
352,"Samuel Lewis Francis was an important post-war American abstract expressionist, whose work was influenced by Japanese and French tradition.
"
353,"Allen Jones RA is a British pop artist and erotic art sculptor, best known for his life-sized sculptures of fetishised women, studies in forniphilia.
"
354,Atelier Van Lieshout (AVL) is a multidisciplinary collective in the field of contemporary art founded by Joep van Lieshout in 1995 in Rotterdam.
355,"Deborah Claxton is an American artist who pioneered the technique of assembling small pieces of paper to create images which look like oil paintings.
"
356,"Anya Spielman is an American abstract artist, a student of Wayne Thiebaud, best known for the intensity of her saturated colors. She lives in LA.
"
357,"Ryan McGinness is a New York-based contemporary artist, known for his psychedelic paintings and sculptures that merge slick biomorphic abstraction with surrealistic imagery."
358,"Simon Vega is a Salvadorian artist born in 1972, known for his sculptures and installations made from various found objects.
"
359,Gelitin is an artistic four-man show from Austria which creates installations in an amusing and humorous way.
360,"Pierre Yermia is a French contemporary artist widely known for his human and animal sculptures of simplified design, executed in bronze."
361,"Bharti Kher is an Indian contemporary artist, widely known and appreciated for her work in painting, sculpture and installations."
362,Melissa Meyer is an American painter who’s respectable and long lasting opus is dedicated to formal aspects of abstraction.
363,"Christophe Jacrot is a French photographer known for his photographs of major cities of the northern hemisphere in adverse weather conditions.
"
364,"Xavier Dumoulin is a French landscape photographer who was born in 1974, in Tarbes. He is currently based in Pau, France."
365,"Jakob Kirchmayr is a critically acclaimed Austrian artist and illustrator known for his  associative painting saturated with symbolism and rawness.
"
366,Sabina Forbes II is an American contemporary painter whose art can be described as a celebration of colors and textures.
367,
368,"Pushing the boundaries with both materials and references, Ale Osollo is a Mexican contemporary artist known for her paintings and murals."
369,"Sylvia Moritz is a German artist who focuses on abstract painting, taking inspiration from nature, environment, the everyday, and the cosmic."
370,"Tom Henderson is a British artist who creates reductive, geometric image-objects that exist at a liminal intersection between painting and sculpture."
371,Stephanie Rainer is an Austrian contemporary artist working primarily in the medium of painting and collage. She lives and works in Vienna.
372,More details will be coming shortly.
373,Assunta Abdel Azim Mohamed is an Austrian artist best known for large scale figurative drawings focused on the exploration of the human existence.
374,"Influenced by his life in Los Angeles, Glen Rubsamen creates paintings that begin as photographs of the local urban landscape featuring quotidian objects."
375,"An Italian-born visual artist, Giulia Ricci draws intricate, disorienting geometrical images utilising a variety of physical and digital processes."
376,"Alejandro Vega Beuvrin is a Venezuelan contemporary artist whose abstract metal sculptures are deeply influenced by the political situation of his country.
"
377,"Bill Kane is an American contemporary artist whose work intersects the boundaries of photography, painting, and printmaking.
"
378,"Alain Clément is a French abstract artist whose paintings and sculptures are subtle, aesthetically pleasing and possess incredible compositional power."
379,"Leo Matiz was a Colombian photographer, caricaturist, newspaper publisher, painter, and gallery owner, best known for his photographic portraiture."
380,"Born in Russia, Elena Bulatova is an internationally acclaimed artist known for her mixed-media paintings and large-scale installations."
381,Patrick Pépin is a Canadian contemporary artist whose abstract paintings are known for their unique style and brilliant color palette.
382,Bas Meeuws is a Dutch artist who uses photography as a basis to breathe new life into the 17th-century Dutch and Flemish still-life genre.
383,Yevhen Lisniak is a Ukrainian contemporary artist who creates vivid and colorful abstract works marked by a sense of intense emotional energy.
384,"Tom Price is a British sculptor who experiments with a broad range of media, from natural materials such as coal and wood, to synthetic resins and polypropylene."
385,Tina Loiodice is an Italian artist who turned to murals and street art after four decades of studio work. She lives and works in Rome.
386,"Exploring ideas of place, identity and memory, Viviane Rombaldi Seppey is a Swiss artist influenced by her family history and migratory experiences."
387,"Paola Dávila is a Mexican artist widely known for her photographs. She lives and works in Mexico City, where she lectures at Centro University."
388,"Israel Rubinstein is an Israeli contemporary painter. Born in Petach-Tikvah, he moved to the United States in 1985, settling in New York."
389,"Mindy Sue Meyers is an American artist working in soft sculpture and textiles. Her work explores nostalgia, memory, and conjuring a sense of time travel."
390,"Jim Dine is an American artist affiliated with the Pop Art movement of the early 1960s, creating art filled with personal meaning and memories.
"
391,"Richard Lindner was a German-American painter who grew up in Nuremberg. He studied music in his youth and was poised to become a concert pianist
"
392,"Roger Brown was an American artist known for his distinctive painting style and shrewd social commentaries on politics, religion, and art."
393,"John Grillo was an American painter, sculptor, and lithographer, and was a pioneer of Abstract Expressionism. He was born in Lawrence, MA, in 1917.
"
394,Luigi Ghirri was an Italian artist and photographer who gained a far-reaching reputation as a pioneer and master of contemporary photography.
395,"Brent Hallard is an American contemporary artist born in Australia in 1957, currently living in San Francisco. His abstract art is minimalistic and exploring monochromatic expression.
"
396,"Peter Soriano is an American artist who started as a sculptor but made a transition into abstract murals and more intimate drawings on paper.
"
397,Jaanika Peerna is an Estonian artist who works on drawing seemingly simple artworks through different performance setups.
398,"Miami-based, mixed media artist Greg Beebe found his true calling in the art world when he began creating spontaneous and thought-provoking abstract works of art.
"
399,"Creating artwork based on the 8-bit video games and characters popular during 1970s and 1980s, Invader spreads his artwork in public places of major cities.
"
400,"Lek is a Parisian writer/graffiti artist who started his career when the graffiti scene was in full bloom in Paris. Lek often cooperates with Sowat.
"
401,"Paul Jenkins was a prolific American abstract artist, known for his unusual chance-based, paint-pouring and fate-tempting painting technique. 
"
402,"Harald Kröner is a German artist best known as so called paper artist. He produces works on paper and collages as well as public installations.
"
403,"André Minaux was a French artist, known for his paintings and drawings. He belonged to the New Realism, Impressionism, and Figurative Art movements.
"
404,"Eduardo Paolozzi was a Scottish sculptor, collagist, printmaker, filmmaker and writer who experimented with wood and aluminum in sculpture making.
"
405,"James JM Rizzi is an American street artist. His signature style of mixing the established and street art is what sets him apart from other artists.
"
406,"Johan Creten is a Flemish sculptor, one of the precursors – with Thomas Schütte and Lucio Fontana - in introducing ceramics in contemporary art."
407,"Jean Feinberg is an American contemporary artist currently living in New York. She is well known for blurring the borders between 2D and 3D, as she combines painting with sculpture.
"
408,"Ian McKeever is a British painter and photographer who studied English literature and found his creative voice in making romantic and subjective art.
"
409,"Efren Isaza is an influential Colombian fashion photographer, known for his images of graceful female figures lounge in fashionable poses.
"
410,"John Henderson is an American painter. His works revolve around the use of copper electrotype, raw patina, and dye sublimation on polyester."
411,Tilman is a German artist who works in numerous mediums which are all underlined by the author's ability to use simple elements and convey complex messages.
412,Suzanne Caporael is a notable American artist who’s work derives from close observation of the natural world which she tries to define and control it.
413,"Audrey Stone is an artist known for creating ink, paper and thread artwork that explore the relationship between lines angles and colors. 
"
414,"Brad Wilson is an American artist who became widely acclaimed for his photographic series Affinity, which features studio portraits of wild animals."
415,Beat Zoderer is a Swiss sculptor and architect born in 1955. He predominantly uses everyday materials as a basis for his work.
416,"Jill Moser is an American abstract artist whose work explores the intersection of painting, writing and the animated image."
417,"The American abstract painter Yvonne Thomas had a central role in Abstract Expressionism, the avant-garde movement that she embraced.
"
418,"Kate Ericson and Mel Ziegler are known for site-specific installations and objects, featuring provocative accumulations of materials and ideas."
419,Daniel Rich is translates photographs into paintings that call attention to implicit political and social narratives transcribed in the built environment.
420,"The American artist David Allan Peters is best known for textured abstract paintings composed of many layers, exploding with vibrant colors."
421,"A celebrated Cuban contemporary artist, Flavio Garciandía is regarded as one of the fathers of Central and South American conceptual art."
422,"Barry Nelson is a British/American Conceptual and Optical artist, whose works evoke a strong geometric sense. He was born in 1937.
"
423,"Louisa Chase was a Panamanian-born American neo-expressionist painter and printmaker who often used a bright color palette and geometric forms.
"
424,"Charles Cobelle, born Carl Edelman, was a French artist best known for his paintings, lithographs and murals. His career was long and prosperous.
"
425,"Miriam Smidt is a German contemporary artist, whose abstract paintings are influenced and inspired by water and its constant movement."
426,"A British contemporary sculptor, Lucinda Burgess emphasises transience in her practice - the constantly changing nature of materials."
427,Alen Opsar is a Turkish artist and art director whose work is inspired by the famous French-Cuban novelist Anais Nin’s erotic stories.
428,María José Arjona is a Colombian artist who was trained as a contemporary dancer before turning to performance art. She lives and works in Miami.
429,"Ludovic Dervillez is a French abstract painter whose work explores the amalgamation of spontaneity, materiality, and emotion."
430,"Paul Landauer is an Austrian abstract painter whose work results from pictorial gestures that create marks, touches, and graphic traces on the canvas."
431,"Kathleen Kucka is an American painter whose work revolves around mark-making and abstraction, primarily on surfaces like canvas and paper."
432,Jonathan Smith is a British photographer known for large-scale color photographs of the stark natural beauty and inherent impermanence of landscapes.
433,"George Rodger was a British photographer. A pioneer of photojournalism, he traveled around the world. He was one of the founders of Magnum Photos."
434,Andreas Leikauf is an Austrian contemporary painter known for figurative paintings saturated with various pop culture references and humorous messages.
435,Luca Marziale is a Swiss-born photographer of Italian and Canadian origin. He works in abstract micro-landscapes focusing in on the natural elements.
436,"A Brazilian artist and renowned engraver, Oswaldo Goeldi is considered a master of the art of expressionist xylography – the art of engraving on wood."
437,
438,"Laurent Marcel Salinas was an Egyptian-born French artist born in Alexandria. He studied law, but his real passion was painting."
439,Nick Terry is known for watercolors distilled from the inherent qualities of the materials he works with and the openness of his method to unforeseen developments.
440,"Jérémie Iordanoff is a French artist who creates abstract paintings, drawings, various works on paper (Indian ink, watercolor), and oil paintings."
441,"Tunku Khalsom is a self-taught artist of British and Malaysian descent, known for her abstract paintings that exude fluidity and stunning color."
442,Jennyfer Stratman is an American contemporary artist who transforms her experience and interpretation of the world into the visual language of sculpture.
443,"Marcone Moreira is a Brazilian contemporary artist whose work is related to the memory of worn-out materials, giving them new meaning through his pieces."
444,"Zhu Ming is a Chinese artist known for his performances and photographs, which depict the artist inside of a highly symbolic transparent balloon."
445,"Mattia Bosco is an Italian contemporary artist working in clay, metal, and wood, but is arguably best known for his stone sculptures."
446,"MIcowËL is a French visual artist and scenographer working in the studio, on stage, and in the streets, where he produces monumental frescoes."
447,"Carla Gimbatti is an Argentinian artist and social activist working in several fields, including Painting, Photography, and Sculpture."
448,More details will be coming shortly.
449,"Sebastiaan Knot is a contemporary visual artist from the Netherlands, who uses light as an explorative and constructive tool."
450,"Kenny Scharf is a legendary muralist, painter, sculptor, and installation artist, best known for his participation in the East Village art scene in the 80s.
"
451,"Yaacov Agam is an Israeli sculptor and experimental artist, one of the pioneer creators of the kinetic movement in art.
"
452,"Robert Motherwell was an American painter, printmaker, and editor. He was one of the youngest of the New York School, known for Abstract Expressionism.
"
453,"Eduardo Arranz-Bravo is a Spanish artist who worked in painting, etching, sculpture, drawing, performance and film.
"
454,Martin C. Herbst is an Austrian artist widely known for his delicately executed paintings that were exhibited in many shows across the globe.
455,"Cecile Raynal is a French artist born in 1966, in Château-Thierry. He is currently based in Criquetot-l'Esneval, France."
456,Fred Stichnoth is a German artist whose photos were used in high fashion editorials for magazines and catalogues for a plethora of brands.
457,"Guillaume Chansarel is a French artist whose paintings invite the viewer to travel, from brand new perspectives, into the cores of international megalopolis.
"
458,"An artist who works in fine arts media, Takashi Murakami is known for blurring the line between high and low arts while representing the Japanese culture."
459,"Yayoi Kusama is a famously provocative avant-garde artist, best known for her works featuring repeating motifs and psychedelic imagery that evoke themes of psychology, feminism, obsession, sex, creation, destruction, and intense self-reflection."
460,"Gunther Forg, was born in Füssen, Allgäuon on 5 December 1952. He was a German painter, graphic designer, sculptor, and photographer.
"
461,"Karel Appel was a Dutch painter and a sculptor who developed many abstract concepts during the key periods of his country's modern art history.
"
462,"Greet Helsen is a Switzerland-based Belgian artist known for her colourful abstract paintings inspired by the natural world.
"
463,"Ellen Priest is an American abstract painter, whose art is created under the influence of jazz music. As a painter, she is mainly self-taught. 
"
464,"Malcolm Morley is a British contemporary artist, best-known for his photorealistic paintings. He is recognized as one of the earliest innovators of super-realism.
"
465,Henrietta Harris is an Auckland-born artist and illustrator known for her series of distorted watercolor and gouache portraits.
466,"Gered Mankowitz is an English photographer who focused his career in the music industry. He has worked with a large number of well-known artists.
"
467,"Pierre Alechinsky is a Belgian artist whose work is related to tachisme, abstract expressionism, and lyrical abstraction. He lives and works in France"
468,"Robert Baribeau is an American artist best known for landscapes he explores on his dynamic canvases that reminiscent Abstract Expressionism. 
"
469,"Tomory Dodge is an American artist based in Los Angeles, California. Born Jason Tomory Dodge in Denver, CO, 1974 to David C. Dodge and Madeleine Dodge"
470,"Jurgen Drescher is a German artist, born in 1955. Although he is best known for his sculptures, he also creates video, text and performance works."
471,"Tom McGlynn is an American contemporary artist born in 1958. He is known for using contrasting colors in his minimalist approach to abstraction.
"
472,"Photographing the naked human body, Klaus Kampert portrays the beauty of its physical form, emotion, thought, and the link between them."
473,"Chryssa Vardea-Mavromichali was a recognized Greek-American artist noted for her neon, steel, aluminum and acrylic glass installations.
"
474,"Joachim van der Vlugt is a Luxembourg-based artist whose work is mostly inspired by the classic Dutch masters. His work was included in various exhibitions.
"
475,"Gianfranco Pezzot is an Italian conceptual photographer who is interested in how different forces affect the ways we construct and make use of our environment.
"
476,"Anthony Frost is an English contemporary abstract artist whose colorful and vibrant paintings and prints are most often inspired by music.
"
477,
478,The American abstract artist Richard Hunt is well known for his outstanding large scale public sculptures made of  welded pieces of metal.
479,David Row is a contemporary artist who lives and works in New York City. He is best known for his shaped canvases and installations.
480,"An artist, designer, art director, and curator, Mike Meire is considered a leading protagonist of cutting-edge editorial design."
481,"Hadi Tabatabai combines drawing, painting and sculpture, creating delicate, meticulously executed pattern-based works in mixed media."
482,
483,"Charlie Hewitt is an American contemporary artist widely known and recognized for his energetic abstract paintings, woodcuts, and sculptures."
484,"Susanne Kirsch is a German abstract artist who specializes in large-format paintings on an acrylic basis, characterized by the inspiration of the moment."
485,"Even though he uses painting, video, sculpture, and installation, Rico Gatson is an American artist who prefers not to be defined by any single medium."
486,"Jeff Robb is a British artist known for his lenticular photographic fine art, focusing on the female nude and abstract forms in space."
487,Lilian Thomas Burwell is an American artist whose work is an expression and a reflection of the history of her own reactions and experiences.
488,More details will be forthcoming shortly.
489,"Nora Ampova is a Bulgarian contemporary visual artist whose work is open and social, often infused with humor and irony."
490,"Meyers Rohowsky was an American painter, printmaker, and sculptor. He studied at New York University and the Academie Julien in Paris."
491,"Nite Owl creates expressive Owls that explore colors and geometries and enter into the realm of “flatness.” He is based in Oakland, California."
492,"Otist is a French artist who uses stencil to express his vision of the world, often addressing issues such as corruption, injustice, racism, and war."
493,"Rosita Raimondo, better known as BBqueen, is an Italian artist best known for her character the Confused Cat, created in 2017."
494,More details will be coming shortly.
495,More details will be coming shortly.
496,More details will be coming shortly.
497,More details will be coming shortly.
498,"Paul Fabozzi is an American artist whose works are inspired by his surroundings - shapes, colors, textures, and other sensory inputs."
499,Raphael Macek is a Brazilian contemporary artist widely known and recognized for his hyperrealistic photographs of horses.
500,
501,"Benjamin Benno was a British-born American artist, regarded as an artistic prodigy from a young age. He is best known for his Modernist works."
502,"Pedro Caetano is a Brazilian artist, curator and former gallerist, best known for his paintings, installations, and sculptures. He is based in São Paulo."
503,Hamilton Aguiar is a Brazilian artist who was initially inspired by murals and interior design. He moved to the United States in 1987.
504,"Jay Kelly is an American contemporary artist known for his unique style of creating life-like portraits and collages out of books, photos, and magazines."
505,"KX2 is a collaboration between sisters Ruth Avra and Dana Kleinman, known for their mathematically inspired sculpture merging metal and painting."
506,"Working with oil paint on wood panels, Emily Berger is an American abstract artist whose paintings are minimal and gestural."
507,"Jessica Renault, better known by her artistic name JrBrush, is a French artist specializing in airbrush. She discovered airbrushing at the age of 15."
508,Botero Pop is a French artist widely known for his character whose simplicity accentuates the emotional impact of the message.
509,La Pointe is a French artist who adopted the technique of String Art after the loss of part of his heart. His works offer a positive message.
510,"Andrew Hardy is a British contemporary artist who uses abstract language to explore materiality, repetition, gesture and chance."
511,"Elizabeth Peyton is an American contemporary painter known for her pop figurative paintings,  mostly of celebrities, that rose her to popularity in the '90s."
512,"Victor Vasarely was a Hungarian-born artist and preeminent painter of complex geometric patterns. He is best known as a founder of Op Art movement.
"
513,"Corneille Guillaume Beverloo better known under his pseudonym Corneille, was a Dutch artist, one of the founders of the REFLEX and COBRA movement."
514,"Albert Watson is a Scottish photographer well known for his fashion, celebrity and art photography. He was born in 1942.
"
515,"Bernard Frize is a French artist, well known for his experimental approach to painting. He was born in 1949, in Saint-Mandé, France."
516,"Romain de Tirtoff, by far better known by his artistic alias of Erte, was a Russian author who was a master of fashion design and Art Deco style."
517,"William Ronald was a Canadian abstract painter and a founder of the influential Canadian abstract art group Painters Eleven in 1954.
"
518,Jose Manuel Ciria is a Manchester-born contemporary artist who has been honored with numerous awards and exhibitions.
519,"Born in 1967, Barthelemy Toguo is a Cameroonian multidisciplinary artist based in Paris and Bandjoun. His work has been included in various shows."
520,"Jason Middlebrook is an American artist interested in uneasy coexistence between natural phenomena and human-made objects who works in sculpture, installation, site-specific projects."
521,"Rafael Coronel is a painter from Mexico whose representational paintings have a melancholic sobriety and include faces from the past great masters, often floating in a diffuse haze."
522,"Anne Russinof is an American abstract painter whose work examines color and structure in a gestural, expressionist manner.
"
523,Stanley Whitney is an American artist born in 1946. Stanley Whitney has been exploring the formal possibilities of color since mid-1970s.
524,"Chris Ofili, a member of the Young British Artists, is known for his exploration of the black experience and his use of elephant dung in paintings.
"
525,"Bernard Buffet was a French artist who belonged to Expressionism, famous for his rich body of work in painting, drawing and printmaking.
"
526,"Frank Horvat is an Italian-born photographer, best known for his fashion photography, mostly published between the mid-1950s and the end of the 1980s. He left a significant mark on fashion photography, moving it outside of the studio.
"
527,"Raúl Cordero is a Cuban artist who collects so called pretexts for his pieces from the press, magazines, books and TV – creating a mixed media artworks."
528,"Pierre Auville is a French artist, born in La Havre, known for using cement and other construction materials in his artwork. 
"
529,"Onemizer is an artist from France widely known for his colorful wildstyle graffiti and portraits of celebrities made on walls, canvas and wood.
"
530,"John Giorno was an American poet and performance artist who disseminated his streetwise, pioneering poetry to audiences worldwide. 
"
531,"Martin Munkácsi was a Hungarian photographer who worked in Germany and in the United States, where he was based in New York City. 
"
532,"Marc Desgrandchamps is a French Lyon-based artist who became famous for his surreal, enchanting compositions that enthrall the viewers almost instantly."
533,"Marcy Rosenblat is an American abstract process painter who creates layered, colorful and complex paintings and prints.
"
534,Menashe Kadishman was an Israeli artist born in 1932 in Tel Aviv. He was best known for his metallic sculptures and colorful sheep paintings.
535,"Hachiro Kanno is a Japanese artist who was born in 1944. He currently lives and works in Paris, France."
536,Hans Staudacher is a influential Austrian painter born in 1923 who was the pioneering proponent of Art Informel in his native country.
537,"Vasilena Gankovska is a Bulgarian artist who explores the past and the present through her painterly based practice by focusing on various social issues.
"
538,"The American artist Beverly Fishman is known for aexploring technological, scientific, and biological systems of perception and representation."
539,"Koenraad Dedobbeleer sculptures, objects, in-situ installations and photographs teeming with associations, tongue-in-cheek commentaries and art historical references."
540,"Wondering about the future of our cultural heritage, Jean-Francois Rauzier is best known for his digitally altered depictions of cities and places."
541,"A Danish artist group, Superflex describes themselves as an expanding collective of humans and non humans working with an expanding idea of art."
542,"A Brazilian modernist artist, Amadeo Luciano Lorenzato depicted landscapes, still lives, and scenes from his neighborhood translating."
543,"Jenik Cook is an American contemporary artist whose paintings, though abstract expressionist, have roots in gestural modernism.
"
544,"Arthur Boden is an American artist whose focus shifted from working as a graphic designer to expressing himself by creating acrylic paintings and prints.
"
545,Giancarlo Impiglia is an Italian contemporary painter. His unique visual style was established on the shoulders of Futurism and Cubism.
546,"Brodsky & Utkin is a collaboration between Alexander Brodsky and Ilya Utkin who developed distinct practices combining architecture with fine art.
"
547,"John Hardy was an American painter known for portraits, cityscapes, and seascapes. His narrative scenes are often populated with solitary figures.
"
548,Steli Christoff is a Bulgarian contemporary artist whose painting/collages represent a form of communication through colors.
549,Jim Rennert is an American artist best known for his immediately identifiable and simplified figures and forms depicting men in suits.
550,"Matt Shlian is an American artist and designer whose work ranges from drawings, sculptures, large-scale installations to collaborations with scientists."
551,Alejandra Quintanilla is a Mexican artist widely known for her abstract paintings. She studied Arts at the University of Monterrey UDEM.
552,Kevin Krag is an Argentinian artist whose music-inspired and influenced works uniquely bring together the fields of sculpture and photography.
553,Philippe Halaburda is a French artist who has coined the term Geographic Abstraction to describe his work. He creates on several mediums.
554,"Marcelo Martin Burgos is an Argentinian artist engaged in sculpture and filmmaking, whose work has roots in childhood memories and a sense of fascination."
555,"LOSE, aka LOSEone, is a French artist specializing in themes such as nature, with its psychedelic flowers that animate it, ceramics, and graffiti."
556,Ann Gardner is an American artist whose abstract forms are constructed of layered shards of tinted concrete and glass on fiberglass molds.
557,More details will be coming shortly.
558,"Inspired by both cultural and biological diversity, Molly Gambardella is an American artist who uses small items in order to create a larger image."
559,"Virgil Abloh was an American artist, architect, and fashion designer. He studied Civil Engineering at the University of Wisconsin-Madison."
560,"Lumi Mizutani is a Japanese-born painter and lithographer, whose works are known for the alchemy between different elements she uses: paper, ink, and water."
561,Cameron Platter is a South African artist best known for vibrant paintings which feature his articulation of the local popular culture and identity issues.
562,Devan Shimoyama is an American contemporary artist who uses the genre of portraiture to explore the domains of queer representation and African heritage.
563,"An Italian-born and Swiss-based artist, Gianni Motti creates interventions designed to highlight the contradictions that inform contemporary society."
564,"A celebrated Brazilian painter, Paulo Roberto Leal focused the concepts of emptiness, voids, interstices, and silence"
565,Louisiana-born artist Ida Kohlmeyer is best known for paintings and sculptures characterized by great exuberance and painterly freedom.
566,
567,
568,
569,"Josep Grau-Garriga was a Spanish artist widely known for his paintings, drawings, and tapestries. He studied painting and engraving."
570,"Pietro Bulloni is an Italian contemporary artist whose works are characterized by neat lines and bright and smooth colors.
"
571,"Lucio Ranucci was an Italian painter born in 1925. In 1947, he moved to South America, where he would spend many years. He worked in the theater."
572,"Guy Oberson is a Swiss contemporary artist best known for his paintings and black chalk drawings. He lives and works in Lentigny, Paris and Berlin.
"
573,Monika Kovatsch is a German artist based in the Munich area whose work can be interpreted as a modern reinterpretation of abstract art.
574,"Marcelo Mendizábal is an Uruguayan contemporary artist known for utilizing threads, ropes, stitches, and knots in his abstract paintings."
575,Carolina Alotus is a Swedish contemporary abstract painter known for active and energetic compositions. She’s been living in Cyprus since 1990.
576,"Janina McQuoid is a Brazilian artist who suspends the functional use of words, signs and materials, combining them in arbitrary constructions."
577,"Carlos Gamez de Francisco is a Cuban-American contemporary painter and fine art photographer based in Prospect, KY."
578,"Carson Cartier is a Canadian contemporary abstract artist who seeks to unify painting, photography, and fashion through his work."
579,More details will be forthcoming shortly.
580,"Martine Demal is a French sculptor who explores the different possibilities of bronze, her chosen material, by pushing its potential to the limits."
581,"Dani Marti is a Spanish multidisciplinary artist working in video, installation and public art. He lives and works between Sydney and Glasgow."
582,More details will be coming shortly.
583,"Born in Montreal, Cedric Sequerra, also known as Sqra, is a Canadian artist perhaps best known for his photographic work."
584,"John Matos, better known as CRASH, stands as the representative of the first generation of graffiti artists that emerged in NY in the seventies.
"
585,"Claude Rutault was a French both minimalist and conceptual artist, best known for the original way of expression he created and named definition-method, which is basically a manual how to create his art piece."
586,"Ryan Callanan aka RYCA is a British contemporary artist, known for his works in printmaking and graphics.
"
587,"Dale Chihuly is an American artist and glass sculptor, born in 1941. He uses glass as the primary medium for his installations and large-scale sculptures.
"
588,Ellsworth Kelly was an internationally renowned American abstract painter and sculptor whose career spanned over seven long and productive decades.
589,"Red Grooms is an American multimedia artist best known for his colorful pop-art constructions depicting frenetic urban life scenes.
"
590,"Robert Natkin was an American born abstract painter whose work is associated with Abstract expressionism, Color field painting, Lyrical Abstraction...
"
591,David Nash is a British sculptor who uses a wide range of wood products and other natural materials to create unique works.
592,"Henri Matisse was a legendary French painter, sculptor, and printmaker - all in all, one of the most influential artists of the twentieth century.
"
593,"Clay Ketter is an American contemporary artist born in 1961, active in the fields of photography and painting."
594,"Judy Pfaff is a notable American artist known mainly for large scale, site-specific installations as well for colorful drawings and detailed sculptures made out of various materials."
595,"Ashley Oubré is an American self-taught artist, known for her large-scale drawings made with graphite powder, india ink and carbon pencil, created in a photorealistic style.
"
596,"Jaume Plensa is a Spanish sculptor, best known for his monumental public sculptures made in steel, glass, marble, polyester resin, concrete, and bronze."
597,"Enrico Baj was an Italian artist and writer on art. Many of his works show an obsession with nuclear war. He created collage, prints and sculptures."
598,"Mark Mastroianni is an American artist, known for creating atmospheric paintings using primarily warm earth colors. He received his education at Ohio State University.
"
599,"Ashlynn Browning is an American artist best known for her abstract paintings – its geometric forms, put together in a process of layering.
"
600,"Delphine Brabant is a French artist known for her sculptures that juxtapose the horizontal and the vertical position, simplifying her figures as much as she can."
601,"Jean-Baptiste Huynh is a well-known, prize-winning photographer French photographer known for his series of works made in Mali, Japan and India."
602,Pedro Cabrita Reis is a Portugese artist who has exhibited his work in numerous solo and group shows. He represented Portugal at the Venice Biennale in 2003.
603,"Agent X is a creative pseudonym of an incredible artist based in Vancouver who creates experimental multimedia collage artworks, paintings and 2D artworks."
604,"Pieter Vermeersch is a Belgian artist who was born in 1973, in Kortrijk. His work was included in various exhibitions."
605,Nicolas Party is a Swiss artist who works across a wide range of different media. He is best known for his color-saturated paintings and murals.
606,"Ernest Pignon-Ernest is a French urban artist and one of the forefathers of what is today known as the street art and urban intervention.
"
607,Swoon is a Brooklyn-based street artist famous for her life-sized woodblock and cut-paper portraits and her humanitarian projects in Haiti.
608,Robert Mapplethorpe was an American photographer known for his controversial images that were simultaneously very classical and academic in nature.
609,"Tom Wesselmann was an American painter often associated with the Pop Art despite regularly denying his association with the concepts of this movement.
"
610,"Chuck Close is a celebrated American painter and photographer who achieved fame and recognition through his massive-scale photorealistic portraits.
"
611,"Joe Webb is a British visual artist known for his enticing handmade mixed media collages.
"
612,"Patrick Wilson is an American artist known for his luminous, sumptuously colored abstract paintings composed of lines and quadrilaterals."
613,Richard Smith was a British printmaker and painter. He has produced work in a range of styles but is often associated with color field painting.
614,"Richard John Haas is an American muralist who is best known for architectural murals and his use of the trompe l'oeil style.
"
615,"Rupert Jasen Smith was an American artist known for painting and printmaking who was born in 1953 in New Jersey and raised in Palm beach, Florida"
616,"stikman, sometimes referred to as Stickman or Bob, is an anonymous American graffiti artist, the mastermind behind stikman - a robot-like figure which looks like it is made of sticks."
617,"Will Barnet was an American artist known for his paintings, watercolors, drawings, and prints depicting the human figure and animals, both in casual scenes of daily life and in transcendent dreamlike worlds."
618,"Bruce Conner was a prolific American artist, whose body of work included assemblage, film, drawing, sculpture, painting, collage, and photography."
619,"Carole Feuerman is an American artist best known as a pioneering figure in the world of hyper-realist sculpture.
"
620,"A painter and an installation artist, David Huffman is best known for melding the aesthetics of science fiction, especially in his Traumanaut series presenting a futuristic landscape populated by African American astronauts"
621,"Hamish Fulton is a British artist who has been transforming walks into photography, illustrations, and wall texts for over four decades."
622,"Nassos Daphnis was a Greek-born American abstract painter and a talented sculptor, as well as a passionate tree peony breeder.
"
623,Lionel Esteve is a French artist born in 1967 in Lyon. His work was included in many solo and group shows.
624,"Emanuel Schulze is a German artist whose paintings negotiate the contrary relationship between technical precision and poetic, painterly freedom."
625,The American painter Michael Reafsnyder is best known for painterly abstractions that convey a sense of delirious happiness.
626,"Ian Anüll is known for his performance and conceptual work, ranging from critical to humorous, that evokes everyday life and consumer culture."
627,"Rudolf de Crignis was best known for radiant abstract works, layered hues of blue that he called ""catalysts to create the space and the light."""
628,"Daniela Schweinsberg is a German abstract artist who uses a diverse range of media, including oils, acrylics and spray paint.
"
629,"Harry McCormick is an American contemporary realist painter whose stunning evocation of light and shadow has been widely recognized.
"
630,"Elliott Green is an American contemporary artist whose abstract paintings mostly evoke landscapes – ashen mountains and foaming waters.
"
631,"Diane Monet is an American contemporary artist known for vibrant landscapes, gardens and villages, painted in the impressionist-inspired style.
"
